assembly_id	genome_id	genome_def
GCF_000929475.1_ViralProj266776	NC_025459.1	Aeromonas phage pAh6-C, complete genome
GCF_000862685.1_ViralProj15424	NC_004104.1	Human papillomavirus type 90, complete genome
GCF_001935745.1_ViralProj359897	NC_032531.1	Beihai picorna-like virus 47 strain SCJXSX39359 hypothetical protein 1 and hypothetical protein 2 genes, complete cds
GCF_000867585.1_ViralProj17595	NC_008317.1	Siegesbeckia yellow vein Guangxi virus, complete genome
GCF_001041775.1_ViralProj287967	NC_027344.1	Salmonella phage STML-198, complete genome
GCF_000896975.1_ViralProj157265	NC_017091.1	Gyrovirus GyV3, complete genome
GCF_000927595.1_ViralProj266988	NC_025470.1	Shewanella sp. phage 1/40, complete genome
GCF_000887955.1_ViralMultiSegProj61861	NC_014902.1	Rhynchosia yellow mosaic India virus DNA-A, complete genome
GCF_000887955.1_ViralMultiSegProj61861	NC_014903.1	Rhynchosia yellow mosaic India virus DNA-B, complete genome
GCF_001551305.1_ViralProj310917	NC_029076.1	Iris severe mosaic virus isolate BJ, complete genome
GCF_000909495.1_ViralProj210930	NC_021720.1	Persimmon viroid 2 genomic RNA, complete genome
GCF_000913955.1_ViralProj230064	NC_022919.1	Cardamom bushy dwarf virus satellite clone Fr-X7, complete sequence
GCF_000897095.1_ViralProj167052	NC_017864.1	Pseudomonas phage vB_Pae-Kakheti25, complete genome
GCF_000930115.1_ViralProj271780	NC_026014.1	Enterobacteria phage P88, complete genome
GCF_001274085.1_ViralProj293720	NC_027781.1	Aiptasia sp. sea anemone associated circular virus isolate I0007C2, complete genome
GCF_000922795.1_ViralProj248746	NC_024151.1	Beauveria bassiana victorivirus NZL/1980 isolate 6887, complete genome
GCF_001755685.1_ViralProj344631	NC_031262.1	Mycobacterium phage Brocalys, complete genome
GCF_001921395.1_ViralProj358545	NC_032128.1	Wuhan spider virus 2 strain spider133995 hypothetical protein gene, complete cds
GCF_001504615.1_ViralProj307824	NC_028915.1	Staphylococcus phage B236, complete genome
GCF_000844345.1_ViralProj14542	NC_006548.1	Pseudomonas phage B3, complete genome
GCF_001549565.1_ViralProj310652	NC_029052.1	Goose dicistrovirus isolate UW1, complete genome
GCF_001882235.1_ViralProj353674	NC_031921.1	Flavobacterium phage Fpv5, complete genome
GCF_002219505.1_ViralProj394323	NC_035184.1	Big Sioux River virus strain Kenya P9 non-structural polyprotein and structural protein precursor, genes, complete cds
GCF_001934125.1_ViralProj359875	NC_032601.1	Beihai picorna-like virus 104 strain BHZC37407 hypothetical protein gene, complete cds
GCF_000910555.1_ViralProj213015	NC_021868.1	Streptococcus phage SP-QS1 complete genome
GCF_000883015.1_ViralProj31163	NC_011201.1	Ralstonia phage RSB1, complete genome
GCF_000898235.1_ViralProj167865	NC_017993.1	Human papillomavirus type 135, complete genome
GCF_000921695.1_ViralProj260486	NC_024791.1	Vibrio phage ICP2_2013_A_Haiti, complete genome
GCF_001961135.1_ViralProj361889	NC_033186.1	Hubei zhaovirus-like virus 1 strain WHBL52766 RNA-dependent RNA polymerase and putative capsid protein genes, complete cds
GCF_000925475.1_ViralProj264932	NC_025350.1	Tuhoko virus 3, complete genome
GCF_000973455.1_ViralProj281401	NC_026813.1	Fusarium graminearum hypovirus 2 isolate FgHV2/JS16, complete genome
GCF_002815195.1_ASM281519v1	NC_039194.1	Avian paramyxovirus 6 strain APMV-6/Goose/FarEast/4440/2003, complete genome
GCF_001646315.1_ViralProj321689	NC_030142.1	Faeces associated gemycircularvirus 21 isolate 29_Fec80018_llama, complete sequence
GCF_000902955.1_ViralProj184163	NC_019928.1	Helicobacter phage KHP30 DNA, complete genome
GCF_002118425.1_ViralMultiSegProj385633	NC_034482.1	Capim virus strain BeAn 8582 segment L RNA-dependent RNA polymerase gene, complete cds
GCF_002118425.1_ViralMultiSegProj385633	NC_034493.1	Capim virus strain BeAn 8582 segment M polyprotein gene, complete cds
GCF_002118425.1_ViralMultiSegProj385633	NC_034483.1	Capim virus strain BeAn 8582 segment S nucleocapsid protein gene, complete cds
GCF_000862885.1_ViralProj15468	NC_007150.1	Procyon lotor papillomavirus 1, complete genome
GCF_000851705.1_ViralMultiSegProj14864	NC_004297.1	Lassa virus segment L, complete sequence
GCF_000851705.1_ViralMultiSegProj14864	NC_004296.1	Lassa virus segment S, complete sequence
GCF_000921235.1_ViralProj253465	NC_024443.1	Roundleaf bat hepatitis B virus isolate RBHBV/GB09-256/Hip_rub/GAB/2009, complete genome
GCF_000920695.1_ViralProj246129	NC_024071.1	Tanay virus isolate 11-2, complete genome
GCF_000924535.1_ViralProj264909	NC_025377.1	West Caucasian bat virus, complete genome
GCF_000911075.1_ViralProj219121	NC_022328.1	Mycobacterium phage Adawi, complete genome
GCF_000889395.1_ViralProj59783	NC_014637.1	Cafeteria roenbergensis virus BV-PW1, complete genome
GCF_000902355.1_ViralProj181080	NC_019452.1	Escherichia phage PhaxI, complete genome
GCF_001310195.1_ViralProj298208	NC_027999.1	Paraiso Escondido virus isolate Ecuador2012, complete genome
GCF_002821345.1_ASM282134v1	NC_038434.1	Pegivirus F isolate PDB-1698 polyprotein gene, complete cds
GCF_001934345.1_ViralProj359846	NC_032590.1	Beihai picorna-like virus 63 strain BHTSS17878 hypothetical protein 1 and hypothetical protein 2 genes, complete cds
GCF_002824245.1_ASM282424v1	NC_038472.1	Tomato leaf curl Rajasthan virus - [India:Rajasthan:2005] segment A, complete sequence
GCF_000869845.1_ViralProj17121	NC_008189.1	Human papillomavirus type 101, complete genome
GCF_002008875.1_ViralProj376936	NC_033825.1	Bat badicivirus 1 clone Bat/CAM/BadV-P11/2013 structural polyprotein and non-structural polyprotein genes, complete cds
GCF_001881755.1_ViralProj353695	NC_031913.1	Streptococcus phage phiARI0460-1, complete genome
GCF_002158835.1_ViralMultiSegProj357854	NC_032150.2	Rhizoctonia solani dsRNA virus 3 segment 1, complete sequence
GCF_002158835.1_ViralMultiSegProj357854	NC_032149.1	Rhizoctonia solani dsRNA virus 3 coat protein gene, complete cds
GCF_001714395.1_ViralProj339885	NC_030795.1	Bos taurus papillomavirus 13 strain 14RO12, complete genome
GCF_000874685.1_ViralProj30697	NC_011057.1	Mycobacterium phage Phaedrus, complete genome
GCF_001042295.1_ViralProj288004	NC_027370.1	Propionibacterium phage PHL179M00, complete genome
GCF_000855945.1_ViralProj15080	NC_003689.1	Cherry virus A, complete genome
GCF_000894075.1_ViralProj78693	NC_016434.1	Gordonia phage GTE5, complete genome
GCF_000907455.1_ViralProj206031	NC_021308.1	Mycobacterium phage HINdeR, complete genome
GCF_000924895.1_ViralProj266648	NC_025415.1	Lactobacillus phage Ld25A, complete genome
GCF_001967815.1_ViralProj361606	NC_032901.1	Hubei tombus-like virus 23 strain WHCCII13249 hypothetical protein 1 and hypothetical protein 2 genes, complete cds
