phage_id,phage_def,host,flag,phage_organism,phage_kingdom,phage_phylum,phage_class,phage_order,phage_family,phage_genus,phage_species,host_kingdom,host_phylum,host_class,host_order,host_family,host_genus,host_species
KF598856,Staphylococcus phage YMC/09/04/R1988,methicillin-resistant Staphylococcus aureus YMC/09/04/R1988,validate2,Staphylococcus phage YMC/09/04/R1988,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus phage YMC/09/04/R1988,,,,,,methicillin-resistant,methicillin-resistant staphylococcus
NC_021801,"Staphylococcus phage SA12, complete genome.",Staphylococcus aureus,train,Staphylococcus phage SA12,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage SA12,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_022758,"Staphylococcus phage YMC/09/04/R1988, complete genome.",Staphylococcus aureus,train,Staphylococcus phage YMC/09/04/R1988,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus phage YMC/09/04/R1988,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_021773,"Staphylococcus phage JS01, complete genome.",Staphylococcus aureus,train,Staphylococcus phage JS01,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage JS01,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023009,"Staphylococcus phage Sb-1, complete genome.",Staphylococcus aureus,train,Staphylococcus phage Sb-1,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus Sb1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023499,"Staphylococcus phage StauST398-4, complete genome.",Staphylococcus aureus,train,Staphylococcus phage StauST398-4,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage StauST398-4,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023500,"Staphylococcus phage StauST398-5, complete genome.",Staphylococcus aureus,train,Staphylococcus phage StauST398-5,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage StauST398-5,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023573,"Staphylococcus phage phiSA012 DNA, complete genome.",Staphylococcus aureus,train,Staphylococcus phage phiSA12,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus SA12,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_005880,"Staphylococcus phage K, complete genome.",Staphylococcus aureus,train,Staphylococcus virus K,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus K,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_024391,"Staphylococcus phage DW2, complete genome.",Staphylococcus aureus,train,Staphylococcus phage DW2,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage DW2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_002486,"Staphylococcus prophage phiPV83, complete genome.",Staphylococcus aureus,train,Staphylococcus prophage phiPV83,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus prophage phiPV83,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_002661,"Staphylococcus phage phiSLT, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phiSLT,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus virus phiSLT,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
