feature,importance
Phage genome composition,0.6114774674335699
Host genome composition,0.2932632934308664
Composition distance,0.01584684087272136
Nucleotide homology,0.06083258936633117
CRISPR matching,0.003019835388798281
Protein homology,0.015559973507712873
cos_dist,0.001912827876693638
l1,0.0024568060367277855
pearson,0.0014873890313189654
jaccard,0.00121437159659743
k3dist,0.0017835118797059001
k6dist,0.0024716911320152553
GCdiff,0.004520243319662386
Homology,0.03141726801025728
hom16_frac_kmers,0.004831608192699318
hom16_cov_frac,0.0011940664369718924
hom16_log_shared,0.0034817399935088327
hom16_longest_frac,0.0014001767292713086
hom20_frac_kmers,0.009824263472564184
hom20_cov_frac,0.003773388768425244
hom20_log_shared,0.0039738275393014465
hom20_longest_frac,0.000936250223331676
crispr_n_spacers,0.002289688356431672
crispr_n_hits,0.0007301470323666087
crispr_best_frac,0.0
crispr_has_hit,0.0
prot_frac_kmers,0.0031365217790615867
prot_cov_frac,0.003045127838820206
prot_log_shared,0.0023208832376584716
prot_longest_frac,0.00705744065217261
