regime,model,auc,auc_lo,auc_hi,ece
loso_species,GBM,0.9597516370715593,0.9458395235652937,0.973663750577825,0.024120154571186363
loso_species,GNN_graph,0.870253475704482,0.842574700314778,0.897932251094186,0.48812664206738826
loso_species,GNN_nograph,0.8703026370125659,0.844526344858486,0.8960789291666459,0.08984389964381027
host_cluster,GBM,0.9536452027845037,0.9379119420516319,0.9693784635173756,0.04700561462989327
host_cluster,GNN_graph,0.8657947752723971,0.8379610793209085,0.8936284712238858,0.5003297384834732
host_cluster,GNN_nograph,0.8720892289648909,0.8471898322888314,0.8969886256409505,0.10698856546460936
phage_cluster,GBM,0.853132318501171,0.8150971628935998,0.8911674741087422,0.42368187646692007
phage_cluster,GNN_graph,0.5752781030444964,0.5158098482145312,0.6347463578744617,0.40067127276934433
phage_cluster,GNN_nograph,0.7086211943793912,0.656698651887613,0.7605437368711694,0.40148839684434123
combined_unseen,GBM,0.780350601779173,0.7290400215031315,0.8316611820552146,0.16605595133300105
combined_unseen,GNN_graph,0.6296114599686029,0.5645017949247706,0.6947211250124352,0.296781498248223
combined_unseen,GNN_nograph,0.6415325745682887,0.5753337440982528,0.7077314050383247,0.18390074538827114
