Unnamed: 0,hostname,phagename,infection,k3dist,k6dist,GCdiff,Homology,pairs,data
2,Staphylococcus_aureus,PG-2021_10,Inf,0.616029772083553,0.433583644089519,-2.08969381825635,0,Staphylococcus_aureus:PG-2021_10,StaphStudy
29,Staphylococcus_aureus,PG-2021_12,Inf,0.665765883994222,0.496446339345106,-1.53027313122672,0,Staphylococcus_aureus:PG-2021_12,StaphStudy
56,Staphylococcus_aureus,PG-2021_14,Inf,0.669991142648582,0.498664784468661,-1.53074642846514,0,Staphylococcus_aureus:PG-2021_14,StaphStudy
83,Staphylococcus_aureus,PG-2021_15,Inf,0.6652600685549,0.49582155477183,-1.53281411059347,0,Staphylococcus_aureus:PG-2021_15,StaphStudy
110,Staphylococcus_aureus,PG-2021_16,Inf,0.628735424424635,0.445234483824356,-2.06302144982412,0,Staphylococcus_aureus:PG-2021_16,StaphStudy
137,Staphylococcus_aureus,PG-2021_17,Inf,0.622738073202266,0.440561866315928,-2.00719943758175,0,Staphylococcus_aureus:PG-2021_17,StaphStudy
164,Staphylococcus_aureus,PG-2021_18,Inf,0.622537058018444,0.436933633558263,-2.06098270399294,0,Staphylococcus_aureus:PG-2021_18,StaphStudy
191,Staphylococcus_aureus,PG-2021_19,NoInf,0.632135303401203,0.445658344203256,-1.61294245311892,0,Staphylococcus_aureus:PG-2021_19,StaphStudy
218,Staphylococcus_aureus,PG-2021_1,Inf,0.555695427339065,0.387754853953144,-4.89847389093561,0,Staphylococcus_aureus:PG-2021_1,StaphStudy
245,Staphylococcus_aure
us,PG-2021_22,Inf,0.668739137693543,0.497766379560461,-1.52744484398548,0,Staphylococcus_aureus:PG-2021_22,StaphStudy
272,Staphylococcus_aureus,PG-2021_23,Inf,0.546997954166517,0.380881956535468,-4.85854696558634,0,Staphylococcus_aureus:PG-2021_23,StaphStudy
299,Staphylococcus_aureus,PG-2021_27,Inf,0.473330779178493,0.398094189647301,-3.19221114570342,0,Staphylococcus_aureus:PG-2021_27,StaphStudy
326,Staphylococcus_aureus,PG-2021_29,NoInf,0.622713886299026,0.435110670255073,-1.97107639157946,0,Staphylococcus_aureus:PG-2021_29,StaphStudy
353,Staphylococcus_aureus,PG-2021_2,NoInf,0.615871252255608,0.430014596290032,-2.0066205367125,0,Staphylococcus_aureus:PG-2021_2,StaphStudy
380,Staphylococcus_aureus,PG-2021_31,NoInf,0.633110117129143,0.465905205051061,-1.26870194676463,0,Staphylococcus_aureus:PG-2021_31,StaphStudy
407,Staphylococcus_aureus,PG-2021_33,Inf,0.625492292407695,0.458880519658857,-1.1867433426401,0,Staphylococcus_aureus:PG-2021_33,StaphStudy
434,Staphylococcus_aureus,PG-2021_35,NoInf,0.614799700450698,0.430976381150104,-2.05678134178533,0,Staphylococcus_aureus:PG-2021_35,StaphStudy
461,Staphylococcus_aureus,PG-2021_38,Inf,0.620033107810569,0.435655636115717,-2.05906204569539,0,Staphylococcus_aureus:PG-2021_38,StaphStudy
488,Staphylococcus_aureus,PG-2021_40,Inf,0.663750072583205,0.495981395022923,-1.50839570724568,0,Staphylococcus_aureus:PG-2021_40,StaphStudy
515,Staphylococcus_aureus,PG-2021_41,NoInf,0.669532239446123,0.498155273076475,-1.52454338208014,0,Staphylococcus_aureus:PG-2021_41,StaphStudy
542,Staphylococcus_aureus,PG-2021_43,Inf,0.665520886901846,0.49640028146903,-1.52178647257569,0,Staphylococcus_aureus:PG-2021_43,StaphStudy
569,Staphylococcus_aureus,PG-2021_46,NoInf,0.315578477584159,0.276917592737356,-3.19718056696099,0,Staphylococcus_aureus:PG-2021_46,StaphStudy
596,Staphylococcus_aureus,PG-2021_47,Inf,0.615526532826011,0.433491719395126,-2.15796362417904,0,Staphylococcus_aureus:PG-2021_47,StaphStudy
623,Staphylococcus_aureus,PG-2021_4,Inf,0.431863327691915,0.340466066808272,-2.24668763042217,0,Staphylococcus_aureus:PG-2021_4,StaphStudy
650,Staphylococcus_aureus,PG-2021_5,NoInf,0.29914385288454,0.273075195928683,-3.44468665324606,0,Staphylococcus_aureus:PG-2021_5,StaphStudy
677,Staphylococcus_aureus,PG-2021_64,Inf,0.625931247968101,0.43910432645171,-1.97411292323737,0,Staphylococcus_aureus:PG-2021_64,StaphStudy
